time,position,measured_position,velocity,measured_velocity,heading,observed,hidden_state,control_input,seed,controller,world_mode,orientation
0.5,"(0.75, 0.0)","(0.75, 0.0)","(1.5, 0.0)","(1.5, 0.0)",0.0,True,"{'position': (0.75, 0.0), 'velocity': (1.5, 0.0), 'heading': 0.0}","(10.0, 0.0)",43,proportional,observer_triggered_updates,0.0
1.0,"(1.6875, 0.0)","(0.75, 0.0)","(1.875, 0.0)","(1.5, 0.0)",0.0,False,"{'position': (0.735, 0.0), 'velocity': (1.47, 0.0), 'heading': 0.0}","(9.25, 0.0)",43,proportional,observer_triggered_updates,0.0
1.5,"(2.671875, 0.0)","(0.75, 0.0)","(1.96875, 0.0)","(1.5, 0.0)",0.0,False,"{'position': (0.7202999999999999, 0.0), 'velocity': (1.4405999999999999, 0.0), 'heading': 0.0}","(9.25, 0.0)",43,proportional,observer_triggered_updates,0.0
2.0,"(3.66796875, 0.0)","(0.75, 0.0)","(1.9921875, 0.0)","(1.5, 0.0)",0.0,False,"{'position': (0.7058939999999999, 0.0), 'velocity': (1.4117879999999998, 0.0), 'heading': 0.0}","(9.25, 0.0)",43,proportional,observer_triggered_updates,0.0
2.5,"(4.6669921875, 0.0)","(0.75, 0.0)","(1.998046875, 0.0)","(1.5, 0.0)",0.0,False,"{'position': (0.6917761199999999, 0.0), 'velocity': (1.3835522399999998, 0.0), 'heading': 0.0}","(9.25, 0.0)",43,proportional,observer_triggered_updates,0.0
3.0,"(5.666748046875, 0.0)","(5.666748046875, 0.0)","(1.99951171875, 0.0)","(1.99951171875, 0.0)",0.0,True,"{'position': (5.666748046875, 0.0), 'velocity': (1.99951171875, 0.0), 'heading': 0.0}","(9.25, 0.0)",43,proportional,observer_triggered_updates,0.0
3.5,"(6.66668701171875, 0.0)","(5.666748046875, 0.0)","(1.9998779296875, 0.0)","(1.99951171875, 0.0)",0.0,False,"{'position': (5.5534130859375, 0.0), 'velocity': (1.959521484375, 0.0), 'heading': 0.0}","(4.333251953125, 0.0)",43,proportional,observer_triggered_updates,0.0
4.0,"(7.6666717529296875, 0.0)","(5.666748046875, 0.0)","(1.999969482421875, 0.0)","(1.99951171875, 0.0)",0.0,False,"{'position': (5.4423448242187495, 0.0), 'velocity': (1.9203310546874999, 0.0), 'heading': 0.0}","(4.333251953125, 0.0)",43,proportional,observer_triggered_updates,0.0
4.5,"(8.666667938232422, 0.0)","(5.666748046875, 0.0)","(1.9999923706054688, 0.0)","(1.99951171875, 0.0)",0.0,False,"{'position': (5.333497927734374, 0.0), 'velocity': (1.88192443359375, 0.0), 'heading': 0.0}","(4.333251953125, 0.0)",43,proportional,observer_triggered_updates,0.0
5.0,"(9.666666984558105, 0.0)","(5.666748046875, 0.0)","(1.9999980926513672, 0.0)","(1.99951171875, 0.0)",0.0,False,"{'position': (5.226827969179687, 0.0), 'velocity': (1.844285944921875, 0.0), 'heading': 0.0}","(4.333251953125, 0.0)",43,proportional,observer_triggered_updates,0.0
5.5,"(10.666666746139526, 0.0)","(10.666666746139526, 0.0)","(1.9999995231628418, 0.0)","(1.9999995231628418, 0.0)",0.0,True,"{'position': (10.666666746139526, 0.0), 'velocity': (1.9999995231628418, 0.0), 'heading': 0.0}","(4.333251953125, 0.0)",43,proportional,observer_triggered_updates,0.0
6.0,"(10.66666665673256, 0.0)","(10.666666746139526, 0.0)","(-1.7881393432617188e-07, 0.0)","(1.9999995231628418, 0.0)",3.141592653589793,False,"{'position': (10.453333411216736, 0.0), 'velocity': (1.959999532699585, 0.0), 'heading': 0.0}","(-0.6666667461395264, 0.0)",43,proportional,observer_triggered_updates,0.0
6.5,"(10.416666604578495, 0.0)","(10.666666746139526, 0.0)","(-0.5000001043081284, 0.0)","(1.9999995231628418, 0.0)",3.141592653589793,False,"{'position': (10.244266742992401, 0.0), 'velocity': (1.9207995420455932, 0.0), 'heading': 0.0}","(-0.6666667461395264, 0.0)",43,proportional,observer_triggered_updates,0.0
